Token,is_Stop_Word,Lemmatized,Tag,Tag Explanation,Part of Speech Tag,Dependency Parsing
"
",False,"
",_SP,whitespace,SPACE,dep
Editor,False,Editor,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
Note,False,note,NN,"noun, singular or mass",NOUN,ROOT
:,False,:,:,"punctuation mark, colon or ellipsis",PUNCT,punct
This,True,this,DT,determiner,DET,det
report,False,report,NN,"noun, singular or mass",NOUN,nsubj
includes,False,include,VBZ,"verb, 3rd person singular present",VERB,acl
details,False,detail,NNS,"noun, plural",NOUN,dobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
sexual,False,sexual,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
assaults,False,assault,NNS,"noun, plural",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
violence,False,violence,NN,"noun, singular or mass",NOUN,conj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
 
            ",False,"
 
            ",_SP,whitespace,SPACE,dep
Cries,False,Cries,NNPS,"noun, proper plural",PROPN,nsubj
pierced,False,pierce,VBD,"verb, past tense",VERB,ROOT
the,True,the,DT,determiner,DET,det
air,False,air,NN,"noun, singular or mass",NOUN,dobj
as,True,as,IN,"conjunction, subordinating or preposition",ADP,prep
a,True,a,DT,determiner,DET,det
car,False,car,NN,"noun, singular or mass",NOUN,pobj
full,True,full,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
women,False,woman,NNS,"noun, plural",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
children,False,child,NNS,"noun, plural",NOUN,conj
crossed,False,cross,VBD,"verb, past tense",VERB,acl
into,True,into,IN,"conjunction, subordinating or preposition",ADP,prep
Chad,False,Chad,NNP,"noun, proper singular",PROPN,pobj
from,True,from,IN,"conjunction, subordinating or preposition",ADP,prep
war,False,war,NN,"noun, singular or mass",NOUN,npadvmod
